SMILES,PC ,Nitrogen density (g/cm3),OB,Nm,HB amount,strongest HB length,strongest HB strength,gasous N2,gasous H2O,gasous CO2, solid C,gasous NH3,gasous O2,Type1,Length1 ,Strength 1,Qmax,D,pC-J,LE
O=N(=O)C1=NN(CCN2N=C(C(=C2N(=O)=O)N(=O)=O)N(=O)=O)C(=C1N(=O)=O)N(=O)=O,73.5,0.59,-22.21,2,96.48,2.52,1.37,33.33,13.33,33.33,20,0,0,C-C ,1.54,75.75,1444.7,8.37,31.9,32.04
C(CC1=NN=NN1)C1=NN=NN1,77.55,1.11,-105.91,2,101.78,1.91,24.85,33.33,0,0,44.44,22.22,0,C-C,1.53,81.65,619.8,6.06,15.68,47.04
O=N(=O)c1c(N2C=NC=N2)c(c(N2C=NC=N2)c(c1N1C=NC=N1)N(=O)=O)N(=O)=O.O=N(=O)c1c(N2C=NC=N2)c(c(N2C=NC=N2)c(c1N1C=NC=N1)N(=O)=O)N(=O)=O,74.09,0.69,-81.1,8,141.77,2.4,6.49,28.57,14.29,7.14,50,0,0,N-C,1.49,98.23,1122,6.87,20.72,29.91
O=N(=O)c1ccc(N2C3=NON=C3N(c3ccc(cc3N(=O)=O)N(=O)=O)C3=NON=C23)c(c1)N(=O)=O,700000,0.43,-80.27,2,136.69,2.35,2.88,20.83,12.5,14.58,52.08,0,0,O-N,1.43,67.17,1221.4,6.93,21.22,34.92
O=N(=O)c1cc(c(c2cc(c(cc2N(=O)=O)N(=O)=O)c2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O,74.1,0.35,-62.34,4,144.57,2.58,1.27,16,12,26,46,0,0,N-C,1.49,100.3,1353.9,7.5,25.64,37.46
Nc1c(cc(c(C=Cc2ccc(cc2)C=Cc2c(cc(c(N)c2N(=O)=O)N(=O)=O)N(=O)=O)c1N(=O)=O)N(=O)=O)N(=O)=O.CN(C)C=O,73.02,0.25,-110.07,1,284.75,2.2,4.86,9.68,19.35,9.68,61.29,0,0,N-C,1.49,99.04,1251,6.32,17.06,44.07
O=N(=O)c1cc(c(Nc2nc(Nc3c(cc(cc3N(=O)=O)N(=O)=O)N(=O)=O)c(cc2N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O.O=N(=O)c1cc(c(Nc2nc(Nc3c(cc(cc3N(=O)=O)N(=O)=O)N(=O)=O)c(cc2N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O,71.14,0.43,-55.36,8,134.63,2.25,4.11,21.15,13.46,24.04,41.35,0,0,N-C,1.48,100.17,1236.1,7.3,23.64,51.01
O=N(=O)c1cc(c2Oc3cc(Oc4cc(Oc5cc(Oc1c2)c(cc5N(=O)=O)N(=O)=O)c(cc4N(=O)=O)N(=O)=O)c(cc3N(=O)=O)N(=O)=O)N(=O)=O,71.23,0.28,-70.29,2,189.71,2.07,7.03,12.5,12.5,25,50,0,0, O-C,1.4,90.79,1283.6,7,21.6,34.15
O=N(=O)C1=NN2CN3N=C(C(=C3NC2=C1N(=O)=O)N(=O)=O)N(=O)=O,76.12,0.72,-35.17,4,90.43,2.33,2.8,34.62,11.54,25,28.85,0,0,N-C,1.46,98.35,1270,8.38,33.37,31.77
O=N(=O)C1=NN2CCN3N=C(N=C3C2=N1)N(=O)=O,71.53,0.74,-63.45,4,128.03,2.38,6.41,33.33,16.67,8.33,41.67,0,0,C-C,1.53,82.73,1037.68,7.11,22.35,37.22
O=N(=O)C1=NN2CCCN3N=C(C(=C3C2=C1N(=O)=O)N(=O)=O)N(=O)=O,68.85,0.53,-58.72,4,159.76,2.36,1.77,25,18.75,15.63,40.63,0,0,C-C,1.54,77.83,1264.6,7.29,23.02,35.37
O=N(=O)C1=NN2CCN3N=C(C(=C3NC2=C1N(=O)=O)N(=O)=O)N(=O)=O,73.37,0.64,-47.29,4,NaN,2.48,1.75,30,16.67,18.33,35,0,0,C-C,1.53,81.64,1213.4,7.68,26.58,34.9
O=N(=O)C1=NN2CCCN3N=C(N=C3C2=N1)N(=O)=O,68.42,0.7,-78.13,4,161.27,2.34,6.76,28.57,21.43,3.57,46.43,0,0,C-C,1.52,80.27,993.9,6.77,19.8,39.96
O=N(=O)C1=C(CCC2=C(NN=C2N(=O)=O)N(=O)=O)C(=NN1)N(=O)=O,76.25,0.61,-51.43,2,136.51,1.89,20.69,26.67,20,16.67,36.67,0,0,C-C,1.56,71.63,1198,7.84,28.3,46.68
O=N(=O)C1=C(CC2=C(NN=C2N(=O)=O)N(=O)=O)C(=NN1)N(=O)=O,73.43,0.63,-39,4,97.29,1.87,21.07,30.77,15.38,23.08,30.77,0,0,C-C,1.5,95.91,1253.9,7.97,29.06,35.67
O=N(=O)C(N(=O)=O)N(=O)=O,73.39,0.51,37.07,8,28.7,2.59,0.51,31.58,10.53,21.05,0,0,36.84,N-C,1.54,86.52,450.8,6.64,20.14,13.62
O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O.O,76.83,0.75,-10.84,8,119.52,2.08,4.19,39.34,21.31,29.51,9.84,0,0,C-C,1.6,87.35,1090.2,9.03,38.55,32.07
O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1CN(CN(CN(C1)N(=O)=O)N(=O)=O)N(=O)=O.O,79.56,0.7,-21.6,4,149.14,2.14,4.9,32,36,16,16,0,0,N-C,1.47,100.3,1256.7,8.61,34.01,46.94
O=N(=O)C1=NNC(=C1N(=O)=O)C1=C(C(=NN1)N(=O)=O)N(=O)=O.O,73.92,0.67,-24.08,4,96.02,1.55,27.92,33.33,16.67,29.17,20.83,0,0,N-C,1.46,106.5,1216.1,8.25,31.63,60
O=N(=O)C1=C(N=C(N1)C1=NC(=C(N1)N(=O)=O)N(=O)=O)N(=O)=O.O,73.43,0.64,-22.84,2,118.27,1.53,28.84,30.77,23.08,26.92,19.23,0,0,N-C,1.45,104.35,1014.4,7.71,26.79,74.93
ON1N=NN=C1C1=NN=NN1O.O,73.88,1.19,-23.28,2,117.31,1.42,31.46,44.44,33.33,5.56,16.67,0,0,N-N,1.39,106.13,775.7,7.63,26.43,87.5
NC1=C(C(=NN1)C1=NNC(=C1N(=O)=O)N)N(=O)=O.O.O,71.07,0.74,-62.58,8,160.32,1.75,24.47,27.59,31.03,3.45,37.93,0,0,N-N,1.41,107.94,648.7,6.42,17.89,77.51
O=N(=O)C1=C(C2=NN=C(O2)C2=NN=C(O2)C2=C(NN=C2N(=O)=O)N(=O)=O)C(=NN1)N(=O)=O.O.O,74.87,0.69,-36.19,4,92.58,1.65,20.56,31.58,15.79,23.68,28.95,0,0,O-C,1.4,96.84,1047.3,7.69,27.17,85.9
NC1=C(C(=O)N2N1C(=O)C(=C2N)N(=O)=O)N(=O)=O.O,82.17,0.62,-49.97,2,117.88,1.74,18.8,23.08,30.77,15.38,30.77,0,0,N-N,13.02,98.31,627.6,7.01,22.88,72.97
O=N(=O)c1cc(c(C2=NN=C(O2)C2=NN=C(O2)c2c(cc(cc2N(=O)=O)N(=O)=O)N(=O)=O)c(c1)N(=O)=O)N(=O)=O.C1COCCO1.C1COCCO1,74.36,0.42,-97.01,1,284.78,2.34,4.76,10.64,29.79,6.38,53.19,0,0,O-N,1.39,98.72,1116.7,6.64,18.95,104.03
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O.O=N(=O)N1C2C3N(C4C1N(C(C(N2N(=O)=O)N3N(=O)=O)N4N(=O)=O)N(=O)=O)N(=O)=O.O=C1CCCO1.O=C1CCCO1.O=C1CCCO1.O=C1CCCO1,74.6,0.58,-36.6,16,119,2.16,5.08,27.27,27.27,18.18,27.27,0,0,C-C,1.53,74.44,1148.3,7.09,21.38,48.92
